TAZ,TAD,OldDistric,County,District,New DistrictName
1.0,95.0,2.0,Pierce,10,South Pierce
2.0,95.0,2.0,Pierce,10,South Pierce
3.0,95.0,2.0,Pierce,10,South Pierce
4.0,95.0,2.0,Pierce,10,South Pierce
5.0,95.0,2.0,Pierce,10,South Pierce
6.0,95.0,2.0,Pierce,10,South Pierce
7.0,95.0,2.0,Pierce,10,South Pierce
8.0,95.0,2.0,Pierce,10,South Pierce
9.0,95.0,2.0,Pierce,10,South Pierce
10.0,95.0,2.0,Pierce,10,South Pierce
11.0,95.0,2.0,Pierce,10,South Pierce
12.0,95.0,2.0,Pierce,10,South Pierce
13.0,95.0,2.0,Pierce,10,South Pierce
14.0,95.0,2.0,Pierce,10,South Pierce
15.0,95.0,2.0,Pierce,10,South Pierce
16.0,95.0,2.0,Pierce,10,South Pierce
17.0,95.0,2.0,Pierce,10,South Pierce
18.0,95.0,2.0,Pierce,10,South Pierce
19.0,95.0,2.0,Pierce,10,South Pierce
20.0,95.0,2.0,Pierce,10,South Pierce
21.0,95.0,2.0,Pierce,10,South Pierce
22.0,95.0,2.0,Pierce,10,South Pierce
23.0,95.0,2.0,Pierce,10,South Pierce
24.0,95.0,2.0,Pierce,10,South Pierce
25.0,95.0,2.0,Pierce,10,South Pierce
26.0,95.0,2.0,Pierce,10,South Pierce
27.0,95.0,2.0,Pierce,10,South Pierce
28.0,95.0,2.0,Pierce,10,South Pierce
29.0,95.0,2.0,Pierce,10,South Pierce
30.0,95.0,2.0,Pierce,10,South Pierce
31.0,95.0,2.0,Pierce,10,South Pierce
32.0,95.0,2.0,Pierce,10,South Pierce
33.0,95.0,2.0,Pierce,10,South Pierce
34.0,95.0,2.0,Pierce,10,South Pierce
35.0,95.0,2.0,Pierce,10,South Pierce
36.0,95.0,2.0,Pierce,10,South Pierce
37.0,111.0,2.0,Pierce,10,South Pierce
38.0,111.0,2.0,Pierce,10,South Pierce
39.0,111.0,2.0,Pierce,10,South Pierce
40.0,111.0,2.0,Pierce,10,South Pierce
41.0,105.0,1.0,Pierce,10,South Pierce
42.0,105.0,1.0,Pierce,10,South Pierce
43.0,105.0,1.0,Pierce,10,South Pierce
44.0,105.0,1.0,Pierce,10,South Pierce
45.0,105.0,1.0,Pierce,10,South Pierce
46.0,110.0,2.0,Pierce,10,South Pierce
47.0,110.0,2.0,Pierce,10,South Pierce
48.0,94.0,2.0,Pierce,10,South Pierce
49.0,94.0,2.0,Pierce,10,South Pierce
50.0,94.0,2.0,Pierce,10,South Pierce
51.0,94.0,2.0,Pierce,10,South Pierce
52.0,94.0,2.0,Pierce,10,South Pierce
53.0,94.0,2.0,Pierce,10,South Pierce
54.0,94.0,2.0,Pierce,10,South Pierce
55.0,94.0,2.0,Pierce,10,South Pierce
56.0,94.0,2.0,Pierce,10,South Pierce
57.0,94.0,2.0,Pierce,10,South Pierce
58.0,94.0,2.0,Pierce,10,South Pierce
59.0,94.0,2.0,Pierce,10,South Pierce
60.0,94.0,2.0,Pierce,10,South Pierce
61.0,93.0,2.0,Pierce,8,Tacoma
62.0,93.0,2.0,Pierce,8,Tacoma
63.0,93.0,2.0,Pierce,8,Tacoma
64.0,93.0,2.0,Pierce,8,Tacoma
65.0,93.0,2.0,Pierce,8,Tacoma
66.0,93.0,2.0,Pierce,8,Tacoma
67.0,93.0,2.0,Pierce,8,Tacoma
68.0,93.0,2.0,Pierce,8,Tacoma
69.0,94.0,2.0,Pierce,10,South Pierce
70.0,94.0,2.0,Pierce,10,South Pierce
71.0,93.0,2.0,Pierce,8,Tacoma
72.0,93.0,2.0,Pierce,8,Tacoma
73.0,93.0,2.0,Pierce,8,Tacoma
74.0,93.0,2.0,Pierce,8,Tacoma
75.0,93.0,2.0,Pierce,8,Tacoma
76.0,93.0,2.0,Pierce,8,Tacoma
77.0,93.0,2.0,Pierce,8,Tacoma
78.0,93.0,2.0,Pierce,8,Tacoma
79.0,93.0,2.0,Pierce,8,Tacoma
80.0,94.0,2.0,Pierce,10,South Pierce
81.0,96.0,1.0,Pierce,10,South Pierce
82.0,96.0,1.0,Pierce,10,South Pierce
83.0,96.0,1.0,Pierce,10,South Pierce
84.0,96.0,1.0,Pierce,10,South Pierce
85.0,96.0,1.0,Pierce,10,South Pierce
86.0,96.0,1.0,Pierce,10,South Pierce
87.0,96.0,1.0,Pierce,10,South Pierce
88.0,88.0,1.0,Pierce,11,S.Kitsap
89.0,89.0,1.0,Pierce,11,S.Kitsap
90.0,89.0,1.0,Pierce,11,S.Kitsap
91.0,89.0,1.0,Pierce,11,S.Kitsap
92.0,89.0,1.0,Pierce,11,S.Kitsap
93.0,89.0,1.0,Pierce,11,S.Kitsap
94.0,89.0,1.0,Pierce,11,S.Kitsap
95.0,89.0,1.0,Pierce,11,S.Kitsap
96.0,88.0,1.0,Pierce,11,S.Kitsap
97.0,88.0,1.0,Pierce,11,S.Kitsap
98.0,88.0,1.0,Pierce,11,S.Kitsap
99.0,89.0,1.0,Pierce,11,S.Kitsap
100.0,89.0,1.0,Pierce,11,S.Kitsap
101.0,89.0,1.0,Pierce,11,S.Kitsap
102.0,89.0,1.0,Pierce,11,S.Kitsap
103.0,89.0,1.0,Pierce,11,S.Kitsap
104.0,89.0,1.0,Pierce,11,S.Kitsap
105.0,89.0,1.0,Pierce,11,S.Kitsap
106.0,89.0,1.0,Pierce,11,S.Kitsap
107.0,89.0,1.0,Pierce,11,S.Kitsap
108.0,100.0,1.0,Pierce,10,South Pierce
109.0,99.0,1.0,Pierce,10,South Pierce
110.0,99.0,1.0,Pierce,10,South Pierce
111.0,99.0,1.0,Pierce,10,South Pierce
112.0,99.0,1.0,Pierce,10,South Pierce
113.0,99.0,1.0,Pierce,10,South Pierce
114.0,99.0,1.0,Pierce,10,South Pierce
115.0,99.0,1.0,Pierce,10,South Pierce
116.0,99.0,1.0,Pierce,10,South Pierce
117.0,99.0,1.0,Pierce,10,South Pierce
118.0,99.0,1.0,Pierce,10,South Pierce
119.0,100.0,1.0,Pierce,10,South Pierce
120.0,100.0,1.0,Pierce,10,South Pierce
121.0,100.0,1.0,Pierce,10,South Pierce
122.0,100.0,1.0,Pierce,10,South Pierce
123.0,100.0,1.0,Pierce,10,South Pierce
124.0,100.0,1.0,Pierce,10,South Pierce
125.0,100.0,1.0,Pierce,10,South Pierce
126.0,100.0,1.0,Pierce,10,South Pierce
127.0,100.0,1.0,Pierce,10,South Pierce
128.0,100.0,1.0,Pierce,10,South Pierce
129.0,100.0,1.0,Pierce,10,South Pierce
130.0,100.0,1.0,Pierce,10,South Pierce
131.0,100.0,1.0,Pierce,10,South Pierce
132.0,100.0,1.0,Pierce,10,South Pierce
133.0,100.0,1.0,Pierce,10,South Pierce
134.0,99.0,1.0,Pierce,10,South Pierce
135.0,99.0,1.0,Pierce,10,South Pierce
136.0,99.0,1.0,Pierce,10,South Pierce
137.0,99.0,1.0,Pierce,10,South Pierce
138.0,99.0,1.0,Pierce,10,South Pierce
139.0,99.0,1.0,Pierce,10,South Pierce
140.0,99.0,1.0,Pierce,10,South Pierce
141.0,99.0,1.0,Pierce,10,South Pierce
142.0,99.0,1.0,Pierce,10,South Pierce
143.0,99.0,1.0,Pierce,10,South Pierce
144.0,99.0,1.0,Pierce,10,South Pierce
145.0,99.0,1.0,Pierce,10,South Pierce
146.0,99.0,1.0,Pierce,10,South Pierce
147.0,99.0,1.0,Pierce,10,South Pierce
148.0,99.0,1.0,Pierce,10,South Pierce
149.0,99.0,1.0,Pierce,10,South Pierce
150.0,99.0,1.0,Pierce,10,South Pierce
151.0,100.0,1.0,Pierce,10,South Pierce
152.0,100.0,1.0,Pierce,10,South Pierce
153.0,100.0,1.0,Pierce,10,South Pierce
154.0,100.0,1.0,Pierce,10,South Pierce
155.0,100.0,1.0,Pierce,10,South Pierce
156.0,100.0,1.0,Pierce,10,South Pierce
157.0,100.0,1.0,Pierce,10,South Pierce
158.0,100.0,1.0,Pierce,10,South Pierce
159.0,100.0,1.0,Pierce,10,South Pierce
160.0,100.0,1.0,Pierce,10,South Pierce
161.0,100.0,1.0,Pierce,10,South Pierce
162.0,100.0,1.0,Pierce,10,South Pierce
163.0,99.0,1.0,Pierce,10,South Pierce
164.0,99.0,1.0,Pierce,10,South Pierce
165.0,99.0,1.0,Pierce,10,South Pierce
166.0,99.0,1.0,Pierce,10,South Pierce
167.0,99.0,1.0,Pierce,10,South Pierce
168.0,105.0,1.0,Pierce,10,South Pierce
169.0,105.0,1.0,Pierce,10,South Pierce
170.0,99.0,1.0,Pierce,10,South Pierce
171.0,99.0,1.0,Pierce,10,South Pierce
172.0,99.0,1.0,Pierce,10,South Pierce
173.0,99.0,1.0,Pierce,10,South Pierce
174.0,99.0,1.0,Pierce,10,South Pierce
175.0,99.0,1.0,Pierce,10,South Pierce
176.0,99.0,1.0,Pierce,10,South Pierce
177.0,99.0,1.0,Pierce,10,South Pierce
178.0,101.0,2.0,Pierce,10,South Pierce
179.0,100.0,1.0,Pierce,10,South Pierce
180.0,100.0,1.0,Pierce,10,South Pierce
181.0,105.0,1.0,Pierce,10,South Pierce
182.0,94.0,2.0,Pierce,10,South Pierce
183.0,94.0,2.0,Pierce,10,South Pierce
184.0,94.0,2.0,Pierce,10,South Pierce
185.0,94.0,2.0,Pierce,10,South Pierce
186.0,94.0,2.0,Pierce,10,South Pierce
187.0,94.0,2.0,Pierce,10,South Pierce
188.0,94.0,2.0,Pierce,10,South Pierce
189.0,94.0,2.0,Pierce,10,South Pierce
190.0,94.0,2.0,Pierce,10,South Pierce
191.0,111.0,2.0,Pierce,10,South Pierce
192.0,111.0,2.0,Pierce,10,South Pierce
193.0,111.0,2.0,Pierce,10,South Pierce
194.0,111.0,2.0,Pierce,10,South Pierce
195.0,111.0,2.0,Pierce,10,South Pierce
196.0,111.0,2.0,Pierce,10,South Pierce
197.0,111.0,2.0,Pierce,10,South Pierce
198.0,94.0,2.0,Pierce,10,South Pierce
199.0,94.0,2.0,Pierce,10,South Pierce
200.0,94.0,2.0,Pierce,10,South Pierce
201.0,94.0,2.0,Pierce,10,South Pierce
202.0,94.0,2.0,Pierce,10,South Pierce
203.0,94.0,2.0,Pierce,10,South Pierce
204.0,94.0,2.0,Pierce,10,South Pierce
205.0,104.0,2.0,Pierce,10,South Pierce
206.0,94.0,2.0,Pierce,10,South Pierce
207.0,94.0,2.0,Pierce,10,South Pierce
208.0,94.0,2.0,Pierce,10,South Pierce
209.0,94.0,2.0,Pierce,10,South Pierce
210.0,94.0,2.0,Pierce,10,South Pierce
211.0,94.0,2.0,Pierce,10,South Pierce
212.0,94.0,2.0,Pierce,10,South Pierce
213.0,94.0,2.0,Pierce,10,South Pierce
214.0,94.0,2.0,Pierce,10,South Pierce
215.0,94.0,2.0,Pierce,10,South Pierce
216.0,94.0,2.0,Pierce,10,South Pierce
217.0,94.0,2.0,Pierce,10,South Pierce
218.0,94.0,2.0,Pierce,10,South Pierce
219.0,94.0,2.0,Pierce,10,South Pierce
220.0,94.0,2.0,Pierce,10,South Pierce
221.0,94.0,2.0,Pierce,10,South Pierce
